p1_rank,p2_rank,p1_win_rate,p2_win_rate,court_type,weather,match_duration_minutes,winner,p1_id,p2_id
184,21,0.4,0.22,Outdoor,Windy,25,Player 2,P1016,P1013
194,69,0.23,0.49,Indoor,N/A,49,Player 2,P1012,P1007
115,21,0.36,0.22,Outdoor,Sunny,42,Player 1,P1019,P1013
68,186,0.74,0.3,Outdoor,Cloudy,32,Player 1,P1014,P1004
193,82,0.3,0.34,Outdoor,Windy,46,Player 1,P1004,P1017
125,162,0.66,0.74,Indoor,N/A,43,Player 2,P1010,P1001
169,91,0.74,0.7,Indoor,N/A,35,Player 2,P1001,P1011
119,177,0.61,0.4,Outdoor,Sunny,38,Player 1,P1020,P1016
89,162,0.34,0.74,Outdoor,Cloudy,41,Player 1,P1017,P1001
98,186,0.7,0.3,Outdoor,Windy,37,Player 1,P1011,P1004
194,82,0.23,0.34,Outdoor,Windy,42,Player 2,P1012,P1017
140,186,0.43,0.3,Indoor,N/A,57,Player 1,P1015,P1004
132,21,0.19,0.22,Indoor,N/A,33,Player 2,P1009,P1013
76,162,0.49,0.74,Outdoor,Sunny,51,Player 1,P1007,P1001
137,21,0.67,0.22,Outdoor,Windy,47,Player 2,P1003,P1013
148,112,0.38,0.61,Indoor,N/A,51,Player 1,P1008,P1020
99,69,0.73,0.49,Outdoor,Sunny,46,Player 1,P1002,P1007
132,162,0.19,0.74,Outdoor,Windy,60,Player 2,P1009,P1001
28,91,0.22,0.7,Indoor,N/A,58,Player 2,P1013,P1011
89,21,0.34,0.22,Outdoor,Sunny,41,Player 2,P1017,P1013
47,133,0.58,0.43,Indoor,N/A,46,Player 1,P1006,P1015
115,162,0.36,0.74,Outdoor,Cloudy,51,Player 2,P1019,P1001
184,162,0.4,0.74,Indoor,N/A,61,Player 1,P1016,P1001
67,112,0.48,0.61,Indoor,N/A,48,Player 1,P1005,P1020
47,21,0.58,0.22,Outdoor,Windy,44,Player 1,P1006,P1013
184,21,0.4,0.22,Indoor,N/A,25,Player 2,P1016,P1013
76,91,0.49,0.7,Outdoor,Windy,65,Player 1,P1007,P1011
137,21,0.67,0.22,Outdoor,Cloudy,30,Player 2,P1003,P1013
137,60,0.67,0.48,Indoor,N/A,35,Player 2,P1003,P1005
184,125,0.4,0.19,Indoor,N/A,47,Player 1,P1016,P1009
125,82,0.66,0.34,Indoor,N/A,57,Player 1,P1010,P1017
125,186,0.66,0.3,Outdoor,Windy,48,Player 2,P1010,P1004
181,61,0.78,0.74,Indoor,N/A,49,Player 2,P1018,P1014
99,61,0.73,0.74,Outdoor,Windy,47,Player 2,P1002,P1014
119,91,0.61,0.7,Indoor,N/A,45,Player 2,P1020,P1011
169,187,0.74,0.23,Outdoor,Cloudy,49,Player 1,P1001,P1012
98,92,0.7,0.73,Outdoor,Cloudy,70,Player 2,P1011,P1002
184,60,0.4,0.48,Indoor,N/A,42,Player 2,P1016,P1005
125,141,0.66,0.38,Outdoor,Sunny,50,Player 1,P1010,P1008
148,118,0.38,0.66,Outdoor,Windy,64,Player 2,P1008,P1010
184,174,0.4,0.78,Indoor,N/A,69,Player 2,P1016,P1018
125,92,0.66,0.73,Indoor,N/A,57,Player 1,P1010,P1002
119,141,0.61,0.38,Outdoor,Sunny,68,Player 1,P1020,P1008
132,92,0.19,0.73,Outdoor,Windy,51,Player 2,P1009,P1002
89,125,0.34,0.19,Indoor,N/A,54,Player 1,P1017,P1009
76,125,0.49,0.19,Outdoor,Windy,63,Player 1,P1007,P1009
181,141,0.78,0.38,Outdoor,Sunny,63,Player 1,P1018,P1008
125,69,0.66,0.49,Outdoor,Sunny,48,Player 1,P1010,P1007
148,177,0.38,0.4,Indoor,N/A,54,Player 1,P1008,P1016
169,177,0.74,0.4,Outdoor,Sunny,50,Player 2,P1001,P1016
89,177,0.34,0.4,Indoor,N/A,46,Player 1,P1017,P1016
169,92,0.74,0.73,Indoor,N/A,54,Player 2,P1001,P1002
68,174,0.74,0.78,Outdoor,Cloudy,43,Player 1,P1014,P1018
125,91,0.66,0.7,Outdoor,Sunny,54,Player 2,P1010,P1011
194,40,0.23,0.58,Indoor,N/A,30,Player 2,P1012,P1006
68,177,0.74,0.4,Indoor,N/A,36,Player 1,P1014,P1016
132,60,0.19,0.48,Outdoor,Cloudy,36,Player 2,P1009,P1005
137,186,0.67,0.3,Outdoor,Windy,55,Player 1,P1003,P1004
119,40,0.61,0.58,Outdoor,Sunny,37,Player 2,P1020,P1006
47,141,0.58,0.38,Outdoor,Cloudy,43,Player 1,P1006,P1008
28,69,0.22,0.49,Outdoor,Sunny,50,Player 1,P1013,P1007
99,61,0.73,0.74,Outdoor,Sunny,58,Player 2,P1002,P1014
47,108,0.58,0.36,Outdoor,Cloudy,43,Player 2,P1006,P1019
119,130,0.61,0.67,Outdoor,Windy,63,Player 2,P1020,P1003
169,112,0.74,0.61,Indoor,N/A,60,Player 2,P1001,P1020
184,187,0.4,0.23,Indoor,N/A,63,Player 1,P1016,P1012
169,40,0.74,0.58,Outdoor,Windy,43,Player 2,P1001,P1006
181,69,0.78,0.49,Outdoor,Cloudy,27,Player 2,P1018,P1007
148,112,0.38,0.61,Outdoor,Sunny,47,Player 2,P1008,P1020
89,125,0.34,0.19,Outdoor,Cloudy,48,Player 2,P1017,P1009
76,133,0.49,0.43,Outdoor,Sunny,60,Player 1,P1007,P1015
194,82,0.23,0.34,Outdoor,Cloudy,35,Player 2,P1012,P1017
115,82,0.36,0.34,Outdoor,Sunny,47,Player 1,P1019,P1017
99,91,0.73,0.7,Indoor,N/A,70,Player 1,P1002,P1011
115,82,0.36,0.34,Outdoor,Sunny,52,Player 2,P1019,P1017
181,91,0.78,0.7,Indoor,N/A,35,Player 2,P1018,P1011
181,187,0.78,0.23,Indoor,N/A,66,Player 1,P1018,P1012
76,130,0.49,0.67,Outdoor,Windy,39,Player 1,P1007,P1003
181,186,0.78,0.3,Outdoor,Sunny,61,Player 2,P1018,P1004
169,130,0.74,0.67,Outdoor,Sunny,43,Player 2,P1001,P1003
89,125,0.34,0.19,Outdoor,Sunny,51,Player 1,P1017,P1009
115,61,0.36,0.74,Outdoor,Sunny,52,Player 1,P1019,P1014
194,69,0.23,0.49,Indoor,N/A,37,Player 2,P1012,P1007
119,130,0.61,0.67,Indoor,N/A,63,Player 1,P1020,P1003
89,60,0.34,0.48,Outdoor,Windy,61,Player 1,P1017,P1005
76,60,0.49,0.48,Outdoor,Cloudy,65,Player 2,P1007,P1005
181,61,0.78,0.74,Indoor,N/A,44,Player 2,P1018,P1014
119,177,0.61,0.4,Outdoor,Windy,46,Player 1,P1020,P1016
119,60,0.61,0.48,Indoor,N/A,39,Player 1,P1020,P1005
99,112,0.73,0.61,Indoor,N/A,63,Player 2,P1002,P1020
148,130,0.38,0.67,Outdoor,Sunny,46,Player 1,P1008,P1003
194,92,0.23,0.73,Outdoor,Cloudy,53,Player 2,P1012,P1002
137,92,0.67,0.73,Indoor,N/A,45,Player 2,P1003,P1002
89,141,0.34,0.38,Outdoor,Sunny,56,Player 1,P1017,P1008
140,82,0.43,0.34,Outdoor,Windy,62,Player 2,P1015,P1017
125,174,0.66,0.78,Outdoor,Windy,45,Player 1,P1010,P1018
193,108,0.3,0.36,Outdoor,Cloudy,33,Player 2,P1004,P1019
184,130,0.4,0.67,Outdoor,Windy,61,Player 2,P1016,P1003
47,118,0.58,0.66,Outdoor,Windy,49,Player 1,P1006,P1010
132,174,0.19,0.78,Outdoor,Sunny,53,Player 2,P1009,P1018
47,177,0.58,0.4,Outdoor,Windy,28,Player 1,P1006,P1016
98,108,0.7,0.36,Indoor,N/A,61,Player 1,P1011,P1019
148,61,0.38,0.74,Outdoor,Cloudy,34,Player 2,P1008,P1014
99,118,0.73,0.66,Outdoor,Sunny,64,Player 1,P1002,P1010
181,141,0.78,0.38,Outdoor,Sunny,55,Player 2,P1018,P1008
125,82,0.66,0.34,Outdoor,Sunny,43,Player 1,P1010,P1017
194,21,0.23,0.22,Outdoor,Windy,25,Player 2,P1012,P1013
169,108,0.74,0.36,Outdoor,Cloudy,47,Player 2,P1001,P1019
148,61,0.38,0.74,Outdoor,Windy,33,Player 2,P1008,P1014
137,112,0.67,0.61,Indoor,N/A,58,Player 1,P1003,P1020
68,91,0.74,0.7,Outdoor,Windy,59,Player 1,P1014,P1011
137,91,0.67,0.7,Outdoor,Windy,47,Player 1,P1003,P1011
47,92,0.58,0.73,Outdoor,Sunny,65,Player 1,P1006,P1002
89,187,0.34,0.23,Outdoor,Windy,37,Player 2,P1017,P1012
181,108,0.78,0.36,Indoor,N/A,43,Player 1,P1018,P1019
193,118,0.3,0.66,Outdoor,Cloudy,51,Player 1,P1004,P1010
169,69,0.74,0.49,Indoor,N/A,33,Player 2,P1001,P1007
47,108,0.58,0.36,Outdoor,Sunny,55,Player 1,P1006,P1019
137,141,0.67,0.38,Outdoor,Sunny,59,Player 2,P1003,P1008
89,21,0.34,0.22,Outdoor,Cloudy,44,Player 1,P1017,P1013
98,21,0.7,0.22,Indoor,N/A,34,Player 1,P1011,P1013
28,174,0.22,0.78,Outdoor,Sunny,27,Player 1,P1013,P1018
140,40,0.43,0.58,Indoor,N/A,51,Player 1,P1015,P1006
89,162,0.34,0.74,Indoor,N/A,44,Player 2,P1017,P1001
68,82,0.74,0.34,Indoor,N/A,67,Player 1,P1014,P1017
181,186,0.78,0.3,Indoor,N/A,51,Player 1,P1018,P1004
98,186,0.7,0.3,Outdoor,Cloudy,46,Player 2,P1011,P1004
184,133,0.4,0.43,Indoor,N/A,53,Player 1,P1016,P1015
132,133,0.19,0.43,Outdoor,Cloudy,66,Player 2,P1009,P1015
68,69,0.74,0.49,Outdoor,Cloudy,51,Player 1,P1014,P1007
140,162,0.43,0.74,Outdoor,Windy,45,Player 1,P1015,P1001
148,133,0.38,0.43,Indoor,N/A,64,Player 1,P1008,P1015
148,21,0.38,0.22,Outdoor,Windy,46,Player 2,P1008,P1013
194,40,0.23,0.58,Outdoor,Sunny,25,Player 2,P1012,P1006
89,69,0.34,0.49,Outdoor,Windy,47,Player 1,P1017,P1007
98,60,0.7,0.48,Outdoor,Cloudy,44,Player 1,P1011,P1005
99,130,0.73,0.67,Outdoor,Sunny,67,Player 1,P1002,P1003
76,162,0.49,0.74,Outdoor,Cloudy,36,Player 1,P1007,P1001
76,112,0.49,0.61,Outdoor,Sunny,59,Player 1,P1007,P1020
140,177,0.43,0.4,Indoor,N/A,62,Player 2,P1015,P1016
181,21,0.78,0.22,Indoor,N/A,34,Player 2,P1018,P1013
89,21,0.34,0.22,Outdoor,Cloudy,51,Player 1,P1017,P1013
193,92,0.3,0.73,Indoor,N/A,50,Player 2,P1004,P1002
125,174,0.66,0.78,Indoor,N/A,56,Player 1,P1010,P1018
99,186,0.73,0.3,Outdoor,Cloudy,32,Player 1,P1002,P1004
132,162,0.19,0.74,Outdoor,Sunny,64,Player 2,P1009,P1001
132,92,0.19,0.73,Indoor,N/A,64,Player 2,P1009,P1002
68,69,0.74,0.49,Indoor,N/A,62,Player 2,P1014,P1007
125,69,0.66,0.49,Outdoor,Windy,57,Player 1,P1010,P1007
140,162,0.43,0.74,Outdoor,Sunny,54,Player 1,P1015,P1001
184,125,0.4,0.19,Outdoor,Sunny,46,Player 1,P1016,P1009
125,125,0.66,0.19,Outdoor,Cloudy,71,Player 2,P1010,P1009
140,162,0.43,0.74,Outdoor,Sunny,67,Player 2,P1015,P1001
98,174,0.7,0.78,Outdoor,Windy,47,Player 1,P1011,P1018
169,125,0.74,0.19,Outdoor,Cloudy,44,Player 2,P1001,P1009
67,92,0.48,0.73,Outdoor,Cloudy,46,Player 1,P1005,P1002
47,108,0.58,0.36,Outdoor,Windy,43,Player 1,P1006,P1019
47,174,0.58,0.78,Indoor,N/A,47,Player 1,P1006,P1018
169,177,0.74,0.4,Outdoor,Sunny,70,Player 2,P1001,P1016
181,60,0.78,0.48,Indoor,N/A,48,Player 2,P1018,P1005
132,130,0.19,0.67,Outdoor,Sunny,64,Player 2,P1009,P1003
76,21,0.49,0.22,Indoor,N/A,48,Player 2,P1007,P1013
169,69,0.74,0.49,Indoor,N/A,32,Player 1,P1001,P1007
115,112,0.36,0.61,Outdoor,Windy,51,Player 2,P1019,P1020
67,130,0.48,0.67,Outdoor,Cloudy,61,Player 2,P1005,P1003
181,69,0.78,0.49,Indoor,N/A,45,Player 1,P1018,P1007
67,112,0.48,0.61,Indoor,N/A,63,Player 1,P1005,P1020
169,112,0.74,0.61,Indoor,N/A,60,Player 2,P1001,P1020
125,91,0.66,0.7,Indoor,N/A,50,Player 2,P1010,P1011
119,125,0.61,0.19,Outdoor,Sunny,50,Player 1,P1020,P1009
67,118,0.48,0.66,Indoor,N/A,61,Player 1,P1005,P1010
47,187,0.58,0.23,Outdoor,Sunny,41,Player 1,P1006,P1012
169,61,0.74,0.74,Outdoor,Cloudy,52,Player 1,P1001,P1014
132,61,0.19,0.74,Indoor,N/A,57,Player 2,P1009,P1014
125,187,0.66,0.23,Outdoor,Sunny,41,Player 1,P1010,P1012
125,82,0.66,0.34,Outdoor,Cloudy,41,Player 1,P1010,P1017
115,92,0.36,0.73,Outdoor,Windy,61,Player 1,P1019,P1002
194,92,0.23,0.73,Outdoor,Cloudy,41,Player 2,P1012,P1002
98,92,0.7,0.73,Indoor,N/A,72,Player 2,P1011,P1002
99,125,0.73,0.19,Outdoor,Cloudy,67,Player 1,P1002,P1009
125,40,0.66,0.58,Outdoor,Cloudy,46,Player 2,P1010,P1006
193,118,0.3,0.66,Outdoor,Sunny,58,Player 2,P1004,P1010
193,92,0.3,0.73,Indoor,N/A,39,Player 2,P1004,P1002
115,40,0.36,0.58,Outdoor,Cloudy,50,Player 2,P1019,P1006
68,118,0.74,0.66,Outdoor,Cloudy,44,Player 2,P1014,P1010
194,92,0.23,0.73,Indoor,N/A,29,Player 2,P1012,P1002
67,174,0.48,0.78,Outdoor,Sunny,41,Player 1,P1005,P1018
194,133,0.23,0.43,Indoor,N/A,54,Player 2,P1012,P1015
67,177,0.48,0.4,Indoor,N/A,30,Player 1,P1005,P1016
132,141,0.19,0.38,Outdoor,Cloudy,54,Player 1,P1009,P1008
137,112,0.67,0.61,Outdoor,Windy,65,Player 1,P1003,P1020
68,130,0.74,0.67,Outdoor,Sunny,38,Player 2,P1014,P1003
98,125,0.7,0.19,Outdoor,Sunny,66,Player 1,P1011,P1009
47,91,0.58,0.7,Indoor,N/A,46,Player 2,P1006,P1011
193,174,0.3,0.78,Outdoor,Cloudy,57,Player 2,P1004,P1018
89,174,0.34,0.78,Outdoor,Sunny,50,Player 1,P1017,P1018
148,187,0.38,0.23,Outdoor,Sunny,48,Player 2,P1008,P1012
99,125,0.73,0.19,Indoor,N/A,68,Player 2,P1002,P1009
194,174,0.23,0.78,Outdoor,Sunny,54,Player 2,P1012,P1018
115,82,0.36,0.34,Outdoor,Sunny,44,Player 1,P1019,P1017
140,186,0.43,0.3,Outdoor,Cloudy,49,Player 1,P1015,P1004
98,177,0.7,0.4,Outdoor,Sunny,40,Player 1,P1011,P1016
28,186,0.22,0.3,Outdoor,Windy,25,Player 2,P1013,P1004
132,21,0.19,0.22,Indoor,N/A,31,Player 2,P1009,P1013
148,162,0.38,0.74,Indoor,N/A,58,Player 1,P1008,P1001
115,133,0.36,0.43,Outdoor,Cloudy,58,Player 2,P1019,P1015
98,108,0.7,0.36,Indoor,N/A,62,Player 2,P1011,P1019
98,92,0.7,0.73,Indoor,N/A,72,Player 2,P1011,P1002
76,108,0.49,0.36,Outdoor,Windy,48,Player 1,P1007,P1019
125,162,0.66,0.74,Indoor,N/A,53,Player 1,P1010,P1001
76,133,0.49,0.43,Indoor,N/A,61,Player 2,P1007,P1015
28,177,0.22,0.4,Outdoor,Windy,29,Player 1,P1013,P1016
194,92,0.23,0.73,Indoor,N/A,48,Player 2,P1012,P1002
132,60,0.19,0.48,Outdoor,Windy,37,Player 2,P1009,P1005
119,177,0.61,0.4,Indoor,N/A,47,Player 1,P1020,P1016
193,21,0.3,0.22,Outdoor,Cloudy,27,Player 2,P1004,P1013
132,60,0.19,0.48,Indoor,N/A,40,Player 2,P1009,P1005
193,130,0.3,0.67,Indoor,N/A,52,Player 2,P1004,P1003
99,91,0.73,0.7,Indoor,N/A,51,Player 2,P1002,P1011
98,92,0.7,0.73,Outdoor,Windy,49,Player 2,P1011,P1002
125,187,0.66,0.23,Outdoor,Windy,39,Player 1,P1010,P1012
132,60,0.19,0.48,Outdoor,Cloudy,38,Player 2,P1009,P1005
125,92,0.66,0.73,Indoor,N/A,67,Player 2,P1010,P1002
76,187,0.49,0.23,Indoor,N/A,33,Player 1,P1007,P1012
67,69,0.48,0.49,Indoor,N/A,66,Player 2,P1005,P1007
76,82,0.49,0.34,Indoor,N/A,62,Player 2,P1007,P1017
119,40,0.61,0.58,Outdoor,Windy,47,Player 1,P1020,P1006
99,40,0.73,0.58,Indoor,N/A,50,Player 2,P1002,P1006
47,118,0.58,0.66,Indoor,N/A,41,Player 2,P1006,P1010
67,186,0.48,0.3,Outdoor,Sunny,35,Player 1,P1005,P1004
98,112,0.7,0.61,Outdoor,Cloudy,47,Player 1,P1011,P1020
115,61,0.36,0.74,Indoor,N/A,56,Player 2,P1019,P1014
184,133,0.4,0.43,Outdoor,Sunny,55,Player 2,P1016,P1015
47,177,0.58,0.4,Outdoor,Sunny,29,Player 1,P1006,P1016
67,118,0.48,0.66,Outdoor,Sunny,47,Player 1,P1005,P1010
132,82,0.19,0.34,Indoor,N/A,63,Player 2,P1009,P1017
193,69,0.3,0.49,Outdoor,Windy,29,Player 2,P1004,P1007
119,174,0.61,0.78,Outdoor,Cloudy,47,Player 1,P1020,P1018
140,130,0.43,0.67,Outdoor,Windy,52,Player 2,P1015,P1003
193,118,0.3,0.66,Indoor,N/A,44,Player 2,P1004,P1010
68,187,0.74,0.23,Indoor,N/A,49,Player 1,P1014,P1012
132,112,0.19,0.61,Outdoor,Windy,58,Player 2,P1009,P1020
169,177,0.74,0.4,Indoor,N/A,59,Player 1,P1001,P1016
181,60,0.78,0.48,Indoor,N/A,25,Player 2,P1018,P1005
137,40,0.67,0.58,Outdoor,Windy,37,Player 2,P1003,P1006
169,61,0.74,0.74,Outdoor,Sunny,32,Player 2,P1001,P1014
28,141,0.22,0.38,Outdoor,Cloudy,46,Player 1,P1013,P1008
89,177,0.34,0.4,Indoor,N/A,56,Player 1,P1017,P1016
119,69,0.61,0.49,Outdoor,Sunny,61,Player 2,P1020,P1007
125,141,0.66,0.38,Outdoor,Windy,70,Player 1,P1010,P1008
28,91,0.22,0.7,Outdoor,Sunny,57,Player 2,P1013,P1011
169,187,0.74,0.23,Outdoor,Windy,67,Player 1,P1001,P1012
119,186,0.61,0.3,Outdoor,Sunny,38,Player 1,P1020,P1004
67,130,0.48,0.67,Outdoor,Sunny,55,Player 2,P1005,P1003
68,133,0.74,0.43,Outdoor,Cloudy,60,Player 1,P1014,P1015
181,60,0.78,0.48,Outdoor,Sunny,36,Player 2,P1018,P1005
115,133,0.36,0.43,Outdoor,Sunny,58,Player 2,P1019,P1015
137,92,0.67,0.73,Indoor,N/A,53,Player 2,P1003,P1002
98,174,0.7,0.78,Outdoor,Windy,40,Player 1,P1011,P1018
89,162,0.34,0.74,Indoor,N/A,39,Player 2,P1017,P1001
89,40,0.34,0.58,Indoor,N/A,46,Player 2,P1017,P1006
193,69,0.3,0.49,Indoor,N/A,32,Player 2,P1004,P1007
115,187,0.36,0.23,Outdoor,Cloudy,45,Player 1,P1019,P1012
28,61,0.22,0.74,Outdoor,Windy,46,Player 2,P1013,P1014
98,108,0.7,0.36,Outdoor,Cloudy,60,Player 1,P1011,P1019
76,162,0.49,0.74,Indoor,N/A,50,Player 1,P1007,P1001
193,187,0.3,0.23,Indoor,N/A,72,Player 1,P1004,P1012
115,133,0.36,0.43,Indoor,N/A,55,Player 2,P1019,P1015
47,187,0.58,0.23,Indoor,N/A,38,Player 1,P1006,P1012
193,118,0.3,0.66,Outdoor,Windy,39,Player 2,P1004,P1010
125,186,0.66,0.3,Outdoor,Cloudy,53,Player 2,P1010,P1004
68,21,0.74,0.22,Outdoor,Windy,48,Player 2,P1014,P1013
181,60,0.78,0.48,Outdoor,Cloudy,32,Player 2,P1018,P1005
181,162,0.78,0.74,Indoor,N/A,55,Player 1,P1018,P1001
193,60,0.3,0.48,Indoor,N/A,25,Player 2,P1004,P1005
140,187,0.43,0.23,Outdoor,Sunny,60,Player 2,P1015,P1012
148,177,0.38,0.4,Indoor,N/A,59,Player 1,P1008,P1016
132,141,0.19,0.38,Outdoor,Sunny,52,Player 1,P1009,P1008
99,130,0.73,0.67,Outdoor,Sunny,46,Player 2,P1002,P1003
89,91,0.34,0.7,Outdoor,Cloudy,69,Player 2,P1017,P1011
193,60,0.3,0.48,Outdoor,Sunny,36,Player 2,P1004,P1005
99,61,0.73,0.74,Indoor,N/A,44,Player 1,P1002,P1014
137,60,0.67,0.48,Outdoor,Cloudy,46,Player 1,P1003,P1005
28,60,0.22,0.48,Indoor,N/A,54,Player 2,P1013,P1005
169,133,0.74,0.43,Outdoor,Cloudy,49,Player 2,P1001,P1015
132,61,0.19,0.74,Indoor,N/A,55,Player 2,P1009,P1014
76,177,0.49,0.4,Outdoor,Windy,48,Player 2,P1007,P1016
